Unnamed: 0	Title	Study ID	Author	Distributor	URI	Topic	Summary	Time Period(s)	Geographic Coverage	Data Type	Access	License	DOI	Data Language	Version	Unit of Analysis	Universe / Population	Sampling Procedure	Collection method	Funding Agency	Grant ID	Alternative title	Series	Date of collection	Sampling Rate	Bibliographic Citation	Datafile URI	Related Studies	Related Publications	Publisher	Provider
62	嘉興蔵（万曆版大藏經）第10帙 第3冊	010_3	嘉興楞厳寺	General Library in the University of Tokyo, Council for Promotion of Study of Daizokyo, and the SAT Daizōkyō Text Database Committee	https://dzkimgs.l.u-tokyo.ac.jp/kakouzou/010_3/010_3.pdf					5.1	open access	http://creativecommons.org/licenses/by/4.0/		zh									万曆版大藏經							嘉興楞厳寺	
63	嘉興蔵（万曆版大藏經）第10帙 第4冊	010_4	嘉興楞厳寺	General Library in the University of Tokyo, Council for Promotion of Study of Daizokyo, and the SAT Daizōkyō Text Database Committee	https://dzkimgs.l.u-tokyo.ac.jp/kakouzou/010_4/010_4.pdf					5.1	open access	http://creativecommons.org/licenses/by/4.0/		zh									万曆版大藏經							嘉興楞厳寺	
64	嘉興蔵（万曆版大藏經）第10帙 第5冊	010_5	嘉興楞厳寺	General Library in the University of Tokyo, Council for Promotion of Study of Daizokyo, and the SAT Daizōkyō Text Database Committee	https://dzkimgs.l.u-tokyo.ac.jp/kakouzou/010_5/010_5.pdf					5.1	open access	http://creativecommons.org/licenses/by/4.0/		zh									万曆版大藏經							嘉興楞厳寺	
65	嘉興蔵（万曆版大藏經）第10帙 第6冊	010_6	嘉興楞厳寺	General Library in the University of Tokyo, Council for Promotion of Study of Daizokyo, and the SAT Daizōkyō Text Database Committee	https://dzkimgs.l.u-tokyo.ac.jp/kakouzou/010_6/010_6.pdf					5.1	open access	http://creativecommons.org/licenses/by/4.0/		zh									万曆版大藏經							嘉興楞厳寺	
66	嘉興蔵（万曆版大藏經）第11帙 第1冊	011_1	嘉興楞厳寺	General Library in the University of Tokyo, Council for Promotion of Study of Daizokyo, and the SAT Daizōkyō Text Database Committee	https://dzkimgs.l.u-tokyo.ac.jp/kakouzou/011_1/011_1.pdf					5.1	open access	http://creativecommons.org/licenses/by/4.0/		zh									万曆版大藏經							嘉興楞厳寺	
67	嘉興蔵（万曆版大藏經）第11帙 第2冊	011_2	嘉興楞厳寺	General Library in the University of Tokyo, Council for Promotion of Study of Daizokyo, and the SAT Daizōkyō Text Database Committee	https://dzkimgs.l.u-tokyo.ac.jp/kakouzou/011_2/011_2.pdf					5.1	open access	http://creativecommons.org/licenses/by/4.0/		zh									万曆版大藏經							嘉興楞厳寺	
68	嘉興蔵（万曆版大藏經）第11帙 第3冊	011_3	嘉興楞厳寺	General Library in the University of Tokyo, Council for Promotion of Study of Daizokyo, and the SAT Daizōkyō Text Database Committee	https://dzkimgs.l.u-tokyo.ac.jp/kakouzou/011_3/011_3.pdf					5.1	open access	http://creativecommons.org/licenses/by/4.0/		zh									万曆版大藏經							嘉興楞厳寺	
69	嘉興蔵（万曆版大藏經）第11帙 第4冊	011_4	嘉興楞厳寺	General Library in the University of Tokyo, Council for Promotion of Study of Daizokyo, and the SAT Daizōkyō Text Database Committee	https://dzkimgs.l.u-tokyo.ac.jp/kakouzou/011_4/011_4.pdf					5.1	open access	http://creativecommons.org/licenses/by/4.0/		zh									万曆版大藏經							嘉興楞厳寺	
70	嘉興蔵（万曆版大藏經）第11帙 第5冊	011_5	嘉興楞厳寺	General Library in the University of Tokyo, Council for Promotion of Study of Daizokyo, and the SAT Daizōkyō Text Database Committee	https://dzkimgs.l.u-tokyo.ac.jp/kakouzou/011_5/011_5.pdf					5.1	open access	http://creativecommons.org/licenses/by/4.0/		zh									万曆版大藏經							嘉興楞厳寺	
71	嘉興蔵（万曆版大藏經）第11帙 第6冊	011_6	嘉興楞厳寺	General Library in the University of Tokyo, Council for Promotion of Study of Daizokyo, and the SAT Daizōkyō Text Database Committee	https://dzkimgs.l.u-tokyo.ac.jp/kakouzou/011_6/011_6.pdf					5.1	open access	http://creativecommons.org/licenses/by/4.0/		zh									万曆版大藏經							嘉興楞厳寺	
